,t,u,lambda,u_begin
191,-293.00537109375,(3.08455518072126e-17-9.557242150459722e-17j),1664.7784798317452,(0.050999308845203366+0.058823931818811105j)
192,-292.96875,(4.784042086092288e-18-4.575333167888829e-17j),1664.7630721629698,(0.04576693252753133+0.04576938148169477j)
193,-292.93212890625,(2.573624906937466e-17-9.437979911486316e-17j),1664.7476647793903,(0.008005765245432495+0.002200671898837381j)
194,-292.8955078125,(4.4181238528784306e-17-1.1478990501190278e-16j),1664.7322576809988,(0.06281503699298469+0.09730716003274728j)
195,-292.85888671875,(2.222614453595284e-18-5.789639601072594e-17j),1664.7168508677876,(0.09762883909851557+0.08891321519726852j)
196,-292.822265625,(1.4365678785432934e-17-5.598548968172024e-17j),1664.7014443397482,(0.01582702423504131+0.07028786395687116j)
197,-292.78564453125,(-3.913969842672671e-17-5.870954764009007e-17j),1664.6860380968733,(0.0261493748665537+0.06302568109684872j)
198,-292.7490234375,(-1.2061749168901237e-17-1.3010426069826053e-17j),1664.6706321391548,(0.09856941935561844+0.017936755910738313j)
199,-292.71240234375,(-4.820633909413674e-17-9.183192400952223e-17j),1664.655226466585,(0.06820834183575977+0.04185138898318036j)
200,-292.67578125,(2.8514517136368767e-17-2.0057740190981832e-17j),1664.6398210791556,(0.09718550507518264+0.030502403248536293j)
201,-292.63916015625,(2.5370330836160804e-17+1.6263032587282567e-19j),1664.6244159768587,(0.04313874817999275+0.028438847006854673j)
202,-292.6025390625,(2.0816681711721685e-17+2.168404344971009e-18j),1664.6090111596868,(0.021579998772072086+0.058634362472677476j)
203,-292.56591796875,(1.7780915628762273e-17+7.914675859144182e-18j),1664.5936066276315,(0.05690009198451083+0.0909175991436951j)
204,-292.529296875,(3.252606517456513e-17+6.071532165918825e-18j),1664.578202380685,(0.0329760199212089+0.036838731254901246j)
205,-292.49267578125,(-2.1738253558334364e-17-1.7997756063259374e-17j),1664.5627984188397,(0.033727180420570955+0.07505961515135301j)
206,-292.4560546875,(2.878556767949014e-17+5.421010862427522e-18j),1664.5473947420874,(0.023042769913977548+0.09525063495689008j)
207,-292.41943359375,(3.469446951953614e-18+1.1492543028346347e-17j),1664.5319913504202,(0.08025374883413161+0.05971546068952899j)
